name,comment
"@sơnnguyên-r8q
2 năm trước",khi võ thuật ko giúp bạn chiến thắng anh bạn à
"@MinhNguyen-yh6gd
4 năm trước",ngày trc xem đi xem lại cái này cười vcl mak ngày đấy là cx thời vs cả jv mind
"@hongcucha9035
4 năm trước",coi rồi coi lại vẫn mắc cười
"@anhkhienhom
4 năm trước",1 27
"@dhm936
3 năm trước",bị covid mà xem anh cười ẻ lun
"@transungnguyen4838
4 năm trước",sau track của icd chắc tage vào học tập
"@lasagna1174
4 năm trước",1 23 thay vì nghe freestyle thì tôi lại nghe tới sáng
"@kimongson1305
4 năm trước",lúc nào cũng ngay lúc t ăn cơm ăn đéo nổi luôn
"@DuckBatman
4 năm trước (đã chỉnh sửa)",share video naỳ lên fb thì sẽ gáng làm nhiều video được chứ link mua áo tiktok fanpage facebook cá nhân
"@HưngNguyễnTấn-t4g
4 tháng trước",ko còn từ gì để nói nữa hài
"@jeffrey-pm1dn2eh8q
2 tháng trước",gần 5 năm rồi á nhanh thật tuổi thơi tôi luôn r
"@sixnguyeen
4 năm trước",khi nào dạy edit tiếp vậy duc
"@CuongDuong-wz9vo
4 năm trước",edit đỉnh quá
"@phuongduybui5392
4 năm trước",anh duck ak
"@TaiLe-u2x3j
3 tuần trước",trung bình bên mỹ
"@yly4719
4 năm trước (đã chỉnh sửa)",chơi địch văng thằng em ở kế bên
"@thangpham4969
4 năm trước",vẫn chất cmn lượng như ngày nào
"@khaisiuuu
4 năm trước (đã chỉnh sửa)",anh bạn à tưởng vid nói về khải lốc xoáy
"@中国萨满
4 năm trước",chắc cx sẽ chất lượng như bth
"@minhkhoipham2316
4 năm trước",khi bn ngồi gần ba mẹ và bật đoạn phim này lên
"@galaxybin-cm3yw
3 năm trước",mày đạp dày tao mà tao dày tao
"@dogeallaingamer4322
4 năm trước",ra lâu mà chất lượng vc
"@chucngothien1086
4 năm trước (đã chỉnh sửa)",every clip is a new level
"@atlai8390
4 năm trước",làm bolsa 2 rồi làm luôn bolsa 1 đeeeee
"@NamNguyen-qt9cy
1 năm trước",0 11
"@lewuang1184
4 năm trước",she make it clap đi duck batman ơi 3
"@yasuotruedamage9188
4 năm trước",má đã bucu còn freestyle
"@Kageki0403
4 năm trước",legend vl
"@Sunny-mh4ks
4 năm trước",0 33 ăn xin 2021
"@tnkn8704
3 năm trước",đây là cách giải hòa hiệu quả đến mọi đối tượng hoàn cảnh
"@dak_vn6406
4 năm trước",bựa quá anh duck ơi
"@inhhoang3545
4 năm trước",8 năm xem lại vẫn hài
"@tantri7851
4 năm trước",yang hồ bolsa
"@nguyenhoangphuc7841
4 năm trước",0 40 chết thay
"@maitran-wx6cf
3 năm trước",đen vl đang trả lời câu hỏi của cô thì quên tắt
"@wibuan1774
4 năm trước",video tạo nên thương hiệu
"@NguyenLe-pt8nv
4 năm trước",cười đau cả bụng
"@phi_nguyen
4 năm trước",móe clgt
"@koten6728
4 năm trước",1 10
"@vietanhho9493
4 năm trước",coi đi coi lại lần thứ n
"@AndyPuthFIFAMobile
4 năm trước",0 06 rất ngơ ngáo
"@Vinh84
4 năm trước",vip quá anh zai nữa điii
"@thanhhai2209
3 năm trước",thấy chuyện bất bình cong chân bỏ chạy
"@HyperBrosZareth
3 năm trước",đã là hơn 1 năm mà nó vẫn là siêu phẩm của vịt mồ côi
"@arc7610
4 năm trước",0 47 sặc cơm
"@lehai433
4 năm trước",duck à tôi có thể hòa giảng được ko cho tôi
"@soicodocc
7 tháng trước",1 05 hài đ cứu đươc
"@startrieu9208
4 năm trước",hài vãi chưởng
"@Paul_rainy_days
4 năm trước",thật hề hước
"@mteatone3181
4 năm trước",102 production tuổi thơ vcl
"@linenhu-3101
3 năm trước",khúc đầu cũng cười khúc giữa cũng cười khúc cuối cũng cười
"@tbtmegame
4 năm trước (đã chỉnh sửa)",1 47
"@hoang1522
4 năm trước",quality quality
"@3ws760
4 năm trước",1 53 giat minh
"@TùngNguyễn-x2q
1 năm trước",video rất văn minh
"@Triducnguyen2609
4 năm trước",amazing goodchop
"@onghuynh8869
4 năm trước",1 13
"@nguoivogiacuuoc102
3 năm trước",từ đó một định nghĩa nữa của từ giảng hoà đã đc ra đời
"@imroul1123
4 năm trước",thật là 1 mầm mống bệnh hoạn
"@tolahaoam7853
4 năm trước",đc của ló đó a bạn à
"@ChiChi07-h
3 năm trước",anh bạn à
"@Dark_011-x6i
2 năm trước",đang ai chia bị táo bón coi cái này c xuống luôn
"@kengungoc..6271
4 năm trước (đã chỉnh sửa)",1 49 cái giọng nghe qq
"@mai-deptrai
4 năm trước",xem đi xem lại vẫn cười mệt
"@Long-2010-p3s
3 năm trước",xem đi xem lại vẫn thấy buồn cười
"@vutoan914
4 năm trước",cười chảy nước mắt
"@MinhLe-ij9ub
4 năm trước",best creation yet
"@cheems8703
4 năm trước",0 38 con clkặc
"@TranHao-ng1wo
2 năm trước",tui đang bi bệnh mà xem xong cái này tui vừa cười vừa ho kết quả là tui ói
"@lords1mp735
4 năm trước",ddd
"@pvdsv8258
4 năm trước (đã chỉnh sửa)",0 51 đen
"@VietNameseBoyz6192
4 năm trước",tấn phúc mà xemm clip này chắc cười rớt răng quá
"@Nson77777
4 năm trước",giảng hòa năm 2021
"@lammai6708
4 năm trước (đã chỉnh sửa)",bún cua và giảng hòa
"@QuangTran-yz2xm
2 năm trước (đã chỉnh sửa)",1 18
"@tranthien7507
4 năm trước",anh phải cho auto tune vô là hoàn con nhà bà hảo
"@nmk0001
4 năm trước",hảo edit
"@Oguricap79
4 năm trước",1 30 quay ngược thời gian
"@ThanhNguyen-ft6gf
4 năm trước",0 40 giảm tốc độ xuống còn 0 25 rồi tận hưởng
"@haihamanh6890
4 năm trước",anh bạn à có thể ngồi xuống b
"@tongtv-kf4lt
3 năm trước (đã chỉnh sửa)",trong 1 video từ nhiều nhất là chửi thề
"@rinraz963
4 năm trước",1 07 hài ra nước mắt
"@user-ri6xl9yx7j
4 năm trước",0 20 thề luôn thích chỗ này vãi cười từ sáng đến tận hôm qua
"@baongocc4797
4 năm trước",xem đi xem lại vẫn cừi ĩa
"@legoguystudio2211
4 năm trước",cách người vn giảng hoà belike
"@tambientap
3 năm trước",khuyến cáo không nên vừa ăn cơm vừa coi clip duck
"@tm49fq
4 năm trước",sao mấy ông này nói từ con c c nghệ thế nhờ
"@bugg9234
4 năm trước",1 13
"@yubai306
4 năm trước",bản gốc đã hài rồi bản này tui sặc sụa luôn ạ
"@dinhngockhanh8907
1 năm trước",bản gốc đã khắm rồi cái này còn vl hơn nữa
"@orekihoutarou3609
4 năm trước",cái này 6 năm rồi mà bảo giang hồ 2021
"@Thanhhien008
4 năm trước",1 21 đéo nhịn cười
"@JustMChannel
4 năm trước (đã chỉnh sửa)",1 14 chỉnh tốc độ 0 25 nghe giống như âm thanh của xe cảnh sát vậy
"@en1268
4 năm trước",1 25 cười sặc
"@tdat_niran
3 năm trước",đêm hôm nằm cười muốn rụng giường
"@valiantdarktanyan9513
4 năm trước",chơi đồ chơi mà bị bắnl
"@BinhNguyen-zw2ix
4 năm trước",0 46 là nhạc gì thế duck
"@What-yc2vg
4 năm trước (đã chỉnh sửa)",1 49 chỉ ba từ quờ ê quê
"@linhhnguyen5869
4 năm trước",clm cười vl
"@memeforeverybody2472
4 năm trước",anh bạn à anh thật hài hước
"@NguyenThanhlam-xk4dl
4 năm trước",đô vì cái hình
"@viet_teamman7958
4 năm trước (đã chỉnh sửa)",1 00 tốc độ phát 0 25x bạn sẽ thấy ông kia sống lại và
"@ooofeijemewim6833
4 năm trước",1 08 bật phụ đề lên má cười ỉa
"@JustMChannel
4 năm trước (đã chỉnh sửa)",0 17 ngôn ngữ của chúa giê su
"@babyloli4759
3 năm trước",khi chúng ta muốn cười địch zải pháp tốt nhất thị trường việt nam
"@Vuduy2014
9 tháng trước (đã chỉnh sửa)",0 17 nó nói tiếng j thế ngò hài su hương
"@hoanglam9168
4 năm trước",1 53 éo chịu đc hài v
"@Vietskygroup
4 năm trước",nghe mọi người bảo hài lắm mà sao tôi không cười nổi
"@Insanit9
4 năm trước",cho e hỏi a dùng ứng dụng gì để edit v
"@vandeejay9202
4 năm trước",hài vl
"@ls_plash-z9
1 năm trước",coi xog xịt keo luôn
"@bugamingvn3715
4 năm trước",1 05 hài vãi nồi
"@trong.torres999
4 năm trước (đã chỉnh sửa)",1 05
"@thachnguyen1019
4 năm trước",má đoạn chơi đồ chơi deo nhịn nổi cười
"@ngocminhpham3548
3 năm trước",dit me nửa đêm nằm cười
"@LeblxwLamSoBruh
4 năm trước",buscu freestyle
"@hoanhhuy3696
3 năm trước",chúc anh sớm đạt 300k sub sớm
"@hirosgaming3732
4 năm trước",hài vc
"@lichsutanky2037
4 năm trước",thề nể anh lắm luôn trình edit
"@carotfreefire5822
3 năm trước",hài lòi c luôn
"@b.a.o4448
4 năm trước",cười đéo nhịn lại dc
"@thanhbinhdang8013
4 năm trước",hảo hán
"@hechuajokerauphathien3192
4 năm trước",ghê
"@plus1802
4 năm trước",anh bạn à
"@Music-bh2vw
4 năm trước",2 th điều dùg ảo thuật cùg 1 lúc
"@1minhhao152
4 năm trước",ϋ
"@countersideu1017
4 năm trước",tage sau khi nghe xong track 2 của icd v
"@kynang2201
4 năm trước",ăn xin 2021
"@NakanoItsuki99
4 năm trước",xem qua xem lại hơn 6 lần vui vcl
"@canngoc7984
4 năm trước",nam tử hán đại trượng phu đánh ko được pús kiu giảng hòa
"@goldhuy1299
4 năm trước",đc của ló đấy
"@ngocthanhang3358
4 năm trước",cái này t mới coi trên bilibili đc mấy ngày
"@oquoctrung8434
4 năm trước",view tăng chóng mặt vs 1 clip ko phải về musik
"@dungmai7898
3 năm trước",1 22 buscu freestyle
"@NguyenThang-yc9zy
3 năm trước",2 6tr ng mà k ai cười mới lạ
"@jdjfjfbxjdf560
4 năm trước",quả điện thoại chất vl
"@nguyenkhanh296
4 năm trước (đã chỉnh sửa)",cười địch bay lâu đài tình ái
"@superhuman3808
4 năm trước",ai tag idol phúc tóc dài vào đi
"@memaybeo201
2 năm trước",khi bạn gặp rip_indra chan ở ngoài đời
"@NguyenTran-ze6mo
1 năm trước",dm bản gốc đã hài rồi gặp clip ông này nữa
"@Wuzie_Mu
2 năm trước",đây là nguồn gốc ra đời meme anh bạn à
"@Haiduc0209
4 năm trước",hôm nào cx thấy đề xuất
"@BaoplusHehe
1 năm trước",nay ông này đi quảng cáo cho web cas đo
"@DucLuonggs
3 năm trước (đã chỉnh sửa)",1 siêu phẩm
"@Tomentainsane
4 năm trước",dark quá
"@khanhnamphung836
4 năm trước",bún cua giảng hòa 000
"@phanvanvu9205
4 năm trước",ngồi cừ hồi lật ngửa ra chết
"@phoniex4379
3 năm trước",anh bạn à
"@quan.ne2
4 năm trước",anh bạn à duck
"@lehoangthuong4560
3 năm trước",từ tiktok sang v
"@ucNguyen-mq2bp
4 năm trước",la i la deja vu
"@hg_bao1902
4 năm trước",bật phụ đề lên coi hay vl
"@Quartz2208
4 năm trước",đêm qua cười to quá bị gank
"@LMAO69-k1l
1 năm trước",anh bạn à but more 18
"@nta6720
4 năm trước",0 28
"@RHHa-lm1bp
4 năm trước",0 26
"@im-a-bread-meh
3 năm trước",1 12
"@thangcutos9272
3 năm trước",1 06
"@dgjaygaming7143
4 năm trước",anh bạn à
"@Káo-Chen
4 năm trước",duckbatman flyingkitty
"@MinhNguyen-tq2qi
4 năm trước",thành meme rồi
"@phamnguyen2522
4 năm trước",fact đây không phải là lần đầu tiên bạn trở lại đây
"@TiềnRacingBoySatriaFi150
4 năm trước",à thì ra đây là câu chuyện của anh bạn à
"@gamevietnam4420
2 năm trước",bản góc simuliter
"@binh_vn_bg_ytb9845
3 năm trước (đã chỉnh sửa)",đê mô rứa hài đây là là nicc em tui
"@hotarumutsumi1665
4 năm trước",người nhà quê
"@dreammquang505
4 năm trước",adu dảk qua
"@lamnhacanime1984
4 năm trước",anh bạn à
"@Shinna-M
2 năm trước",mặn
"@pmhpes
3 năm trước",đang buồn ỉa thì cái này hài vãi lò ỉa máy nó ra quần
"@namtruong2601
4 năm trước",mới tiêm về coi cười đau vkl
"@pnat8816
4 năm trước",không biết xem lại lần thứ bao nhiêu rồi
"@duysan-D
10 tháng trước",gần 100k likes rồi nè cho vid alaba trap lên 100k luôn
"@tinsldkdksmskwkwowj
4 năm trước",phù hợp cả người điếc lẫn người bình thường
"@vanhmobile8564
4 năm trước",anh bạn à
"@namhoatung6898
1 năm trước",anh bạn à cho tui bus
"@thinhpham9756
4 năm trước",cười lên bờ xuống ruộng
"@Awarm168
3 năm trước",cái đệt j đáy hahaa
"@quoctuantran9676
4 năm trước",đậu phụ lú não r
"@minhnopro811
4 năm trước",buscu freestyle
"@NAMNguyen-hv9ur
3 năm trước",anh bạn à
"@cheesedung2117
4 năm trước",tao nói mày đạp giày tao là mày đạp giày tao tao đạp giày mày là mày đạp giày tao mày đạp giày mày rồi mày đạp giày tao
"@focuskey
1 năm trước",kĩ năng bạn giỏi quá
"@anlequang9622
4 năm trước",buscu freestyle
"@nhutinvisible2051
3 năm trước",đíu bt nói j
"@AnhQuan-005
4 năm trước",uầy sub vs view cao nhờ
"@quyetbui5357
3 năm trước",anh bạn àààà
"@bangioa3402
4 năm trước",đouma t cười như chơi bóng
"@NhiPhuong-wc6yc
11 tháng trước",thật là dark
"@over_pew7880
4 năm trước",hai a đang giảng hòa đấy
"@phucao154
4 năm trước",có ông nào gửi cho mấy ông 102 xem đê
"@cucaungaoa8482
4 năm trước",men mặn vãi nồi
"@Kirito_allain
3 năm trước",lâu r vẫn có người nói bình luận
"@fil5382
4 năm trước",bucu freestyle
"@TranNguyenngocnhuy-ln6es
4 năm trước",cươ i ra cư t luôn
"@trananhphat1461
4 năm trước",này xưa r nay được lôi lên lại à
"@phuonglo6396
3 năm trước",ngồi gần phụ huyng
"@baldbuget4244
4 năm trước",khi bóp cò súng dậy múa đi sao ko múa nữa
"@HungHung-ql4lt
3 năm trước",dm toi đag ngồi kế phụ huynh
"@ThangHoang-nd3md
4 năm trước",anh bạn à tôi có thể
"@thanhson9227
4 năm trước",ứa cơm mẹ r
"@Tomentainsane
4 năm trước",quá dark lun
"@oananhtuan24
3 năm trước",được quá chất lượng hài quá ông duck ơi
"@trunghieuu7
4 năm trước",cười suốt
"@chonvan6567
2 năm trước",cười như điên bị mẹ cho ăn chửi
"@phuong3693
4 năm trước",mặn vãi
"@manhang9459
4 năm trước",kinh thế
"@uyeno4774
4 năm trước",đỉnh cao edi
"@evel.lin510
3 năm trước (đã chỉnh sửa)",anh bạn à chế
"@klggamer1
2 năm trước",mày đạp giày tao là mày đạp giày tao tao đạp giày tao là mày đạp giày tao mày đạp giày mày xong mày đạp giày tao tao đạp mày về mày đạp tao
"@haohanonglao7596
4 năm trước",đây thật sự là 1 kênh hài nhưng đến bây giờ tôi mới đc biết nhưng không sao tôi vẫn rất mây mắn khi biết đến ạnh
"@classical2246
4 năm trước",dark va i li nnn
"@quangdegea3527
4 năm trước",cười ko ngậm dc mồm
"@py3.14
4 năm trước",dcm buscu freestyle bestline
"@HieuTran-hr9sn
4 năm trước",hơn bản gốc
"@giang2k12tv4
4 năm trước",hài vãi duck ơi là duck
"@nguyenphucnguyen5708
4 năm trước",bucu freestyle
"@extremelypowerfulvision293
4 năm trước",ko thể nhịn dc cười
"@tailssecrethistories9286
3 năm trước",thích cái memes này vãi
"@dat1205
3 năm trước",edit mận vải
"@nguyenhoang-sb3mb
4 năm trước",làm phú quý bò viên đi bạn
"@tunnui3738
4 năm trước",cười ỹa anh bạn à
"@cornroblox323
4 năm trước",hảo hán quá
"@ThangNguyen-ku8wh
4 năm trước",vãi lồn thật hài thực sự
"@lylyinhthi5099
4 năm trước",ông duck làm hay vl
"@matnhanthuc1298
3 năm trước",sặc cười đau tim gọi 113 hộ tao
"@kiet-t1m
4 năm trước",duck quá là dak
"@HaNguyen-me7xu
4 năm trước",hihihihihi
"@ngocanh1a4truong83
4 năm trước",thành trên luôn
"@minhquangnguyen1674
4 năm trước",mặn chát
"@diojotaro6839
4 năm trước",dảk quá duck ơi
"@nguyenthinh5898
3 năm trước",tục hơn bản gốc
"@PhuongAnh-rc4pf
4 năm trước",á đù má skyler every where
"@trh2198
4 năm trước",khó thế cũng nghĩ ra được
"@zenor0909
4 năm trước",hảo hán
"@Dungvn1337
4 năm trước",hảo hảo
"@minhquangnguyen1674
4 năm trước",editor mặn quá
"@tuanh3022
4 năm trước",meme mới
"@tolagaw4154
4 năm trước",anh bạn nhưng nó chỉ 2p
"@fdgaming9033
4 năm trước",cười ẻ
"@unin-w2b
3 năm trước",mong bạn sớm lên 300 người đăng kí chứ buồn xa 200 trăn ngàn
"@HungNguyen-bj8xx
4 năm trước",vjp vậy duck
"@tatctung7968
4 năm trước",zồ ái mồ
"@rimuru-sama2258
4 năm trước",chảy nước vì nó buồn cười
"@Psychopunk2077
2 năm trước",bản gốc ko hài gì mấy sang đây xem đúng hài
"@vobichhanh5787
4 năm trước",ôi dảk quá
"@hoangminhnguyenhuy4686
3 năm trước",0 25 tôi khóc mất
"@cheesedung2117
4 năm trước",hài vler
"@tructruc1847
4 năm trước",đau bụng
"@chuong1084
4 năm trước",anh bạn à
"@lytran4523
4 năm trước",anh bạn à
"@ToanSuy96
3 năm trước",anh bạn à
"@edward9220
4 năm trước",hay hảo hán
"@JustaMrgoodguy
4 năm trước",hay phết
"@linhduynguyen9868
4 năm trước",hảo hán
"@lexuanphong7889
4 năm trước",anh làm video thơ i thế đảo ngươ c đi ạ
"@nguyenminhgiap4465
4 năm trước",bạn à
"@AiTran-lb1nm
4 năm trước",đù dark quá
"@GhoulogicaL011
4 năm trước",em lạy og edit
"@TruongVu-s7w
4 năm trước",làm ytp brủh fame by thằng australia việt đi ad
"@lywongmymy4454
4 năm trước",buscu freestyle
"@user-ue8fc3gd1v
4 năm trước",ảo thật đấy
"@fakenoobxd7349
3 năm trước",ae mở full loa cho cả nhà nghe xem lào
"@phananghoanglong3.727
8 tháng trước",vua hài tục tĩu
"@NamLe-el4un
4 năm trước",hài wá
"@doraemon2172
4 năm trước",này tục gấp 10 clip 102
"@khanhphan5954
4 năm trước",bún cua
"@taolapta
4 năm trước",busku freestyle
"@VoHa.Tram69
4 năm trước (đã chỉnh sửa)",thanh niên có siêu năng lực của subaru nhưng lại gay
"@duybuibao6867
3 năm trước",hài quá duck ơi
"@tuankhaiho9452
4 năm trước",mặn mòi
"@Shinna-M
3 năm trước",edit mặn vãi
"@quythanhnguyen5716
4 năm trước",duma cười xong lúc ăn cơm ngĩ lại cười sằng sặc xong bố mẹ chửi điên
"@baokittyviet2240
4 năm trước",anh bạn à
"@user-oc2ge2vr2l
4 năm trước",mắc cười vl
"@vovo323
4 năm trước",lạy chúa
"@nguyenanhnguyen1292
4 năm trước",hảo hán
"@lxnhtrn
4 năm trước",anh duck batman à
"@trieuphongmach2156
4 năm trước",hài tuc tiêu phong lê
"@blockyvn5540
4 năm trước",siêu phẩm
"@ThuongNguyen-zy5ru
4 năm trước",cậu vàng pro vip
"@tiktoklienquan4511
3 năm trước",haha
"@cloudbread8280
4 năm trước",vjp thế duck
"@qinfie1172
4 năm trước",người nhà quê
"@nvhexe4400
4 năm trước",má cười sặc cơm
"@DungHuynh-mr4ey
4 năm trước",duck ơi dag ăn cơm
"@Watanabesan2k5
3 năm trước",anh bạn à
"@vn.heroes3993
4 năm trước",hảo hán hảo hán
"@trangyen6735
3 năm trước",điện thoại baby màu hồng
"@nguoila1990
2 năm trước",hài hước quá duck ơi
"@khuongduy2011
4 năm trước",hài vl
"@tahaodzlv2
3 năm trước",cười i ra quần r
"@hoituan4906
4 năm trước",hài quá hài đến nỗi i ra quần
"@NgọcMyy203
3 năm trước (đã chỉnh sửa)",ơi là trời
"@minhducdo4586
4 năm trước",hài vl
"@LeNguyen-fj8pj
10 tháng trước",ahhahhahahahhahahhahahahah
"@lbtaov9125
4 năm trước",hài v
"@lephuocsang7a377
4 năm trước",hsha
"@notverysus652
4 năm trước",0 40 xd
"@linhlongto
4 năm trước (đã chỉnh sửa)",1 05 cảnh mà ai cx muốn xem
"@NGaming-sk2yi
4 năm trước",vãi chưởng
"@thaisonduythaibuinguyen6938
3 năm trước",đúng là idol đuck
"@duyduwu7509
4 năm trước",ad làm liên minh siêu nhân đi
"@MobileCho-e8x
1 năm trước",2242 còn coi không
"@tuyenbui9286
4 năm trước",ahhahahahahahahhahahahahaha
"@bienpham5545
3 năm trước",anh bạn à
"@thanhkimhuynh4526
4 năm trước",hài vãi
"@contao35
4 năm trước (đã chỉnh sửa)",đố thk nào ngồi trc mặt ba mẹ xem
"@hnadcouq1909
4 năm trước",sặc milo lên tới mũi
"@craya1316
4 năm trước",vjp vl ông
"@rtp__all9533
4 năm trước",hơi tục nhưng hài vl
"@hoangminhnguyen2024
3 năm trước",hahaahhahahaha mắc cười kinh khủng
"@xuantruongkieu3272
3 năm trước",hài quá
"@trinhskims6164
4 năm trước",tôi đag xem cái gì thế này
"@nedung6913
4 năm trước",mặn vclllllllllll
"@qgvu_281
4 năm trước",uầy giờ anh duck ghê z 3 mới 1 năm kh coi clip giờ gần 200k sud
"@tuanphan5381
4 năm trước",xd
"@nguyensenpaii8991
4 năm trước",cười ko nhịn địt
"@giabaopham5270
3 năm trước",xàm thấy bà nội ông cố ngoại luôn
"@nguyennhatquang9885
4 năm trước",người nhmà qumê
"@trankhanh7655
4 năm trước",ha ha
"@TuanMinh-qx3zx
4 năm trước",hayygyyyyyyyyyyyyyyyy
"@PhuongLuongQui
7 tháng trước",khoanh khac thay doi so phan
"@QuyenPham-gv5qf
4 năm trước",quá đỉnh
"@hamham_knight
4 năm trước",vui vl
"@hieple2282
4 năm trước",nhà người quê
"@noname-nu7iw
3 năm trước",perfect droughts
"@lechinhdanh
3 năm trước",quá hài nhưng tục quá
"@haonhat3287
4 năm trước",cay nhờ
"@ducphamminh9474
4 năm trước",10 điểm xuất sắc
"@nguyenbinhminh1613
3 năm trước",hài hước quá
"@HaNguyen-me7xu
4 năm trước",hahahhahahahahahahaha
"@duchiu2212
4 năm trước",super men mất dạy phải gọi 1 thời
"@zarkrv4998
4 năm trước",18 nhưng trẻ em vẫn coi dc để học từ bậy ko nên học cho con níc 1 tủi
"@VanchoHuynh-p9d
1 năm trước",thiệt luôn
"@Dogi000
4 năm trước",phim kinh dị
"@nganfreefire6105
4 năm trước",lô ông
"@jennabunny2204
4 năm trước",pơ phẹt
"@ttn-gaming8838
4 năm trước",dảk quá
"@HungNguyen-ow2wh
4 năm trước",lol
"@JUSTMINH24
4 năm trước",hài
"@Thanh-yf8bz
4 năm trước",0 26 ăn xin 2021
"@ChesRosENDER
4 năm trước",bựa vc
"@VănNhậtNguyễn-e7x
1 năm trước",1p13 đến 1p20 cười chảy mẹ máu mũi
"@lamthuy7455
4 năm trước",dảk vãi
"@myvu6702
3 năm trước",hay vll
"@datbui4585
4 năm trước",haha vcl
"@Str.Fantom0509
4 năm trước",cười điên
"@onlyd4571
4 năm trước",edit kinh đấy
"@vankhuy05
4 năm trước",xem hoài ko chán
"@fishingrodgaming7140
1 năm trước",cười
"@Aduc2961
2 năm trước",duma đang uống nước
"@doggy772
4 năm trước",hài v
"@DuyPham-ef3bt
4 năm trước",dảk wá
"@ainguyen244
4 năm trước",1 29 đm
"@zetkr6643
4 năm trước",0 49 cầm súng ai chơi dc bây
"@nayuta3573
4 năm trước",an xin
"@ucthien3649
4 năm trước",hay
"@nthmplol
3 năm trước",hahahahahahahahahanananananananha
"@gaconne12
4 năm trước",hay
"@dungtran10165
4 năm trước",hahahahahaha
"@minhbui7982
4 năm trước",0 33
"@linhta1971
3 năm trước",hay wa duck
"@dakvjppro8917
4 năm trước",kkkkkkkk
"@ucga6821
4 năm trước",hài vãi l n
"@thanhnguyenduc4536
4 năm trước",hay
"@AnhTuan-hx5lo
4 năm trước",hay
"@winn2212
4 năm trước",hahaha
"@DuongNguyen-mm4kv
4 năm trước",aghahaha
"@minhhoang-my9yx
3 năm trước",hay quá anh ơi haha
